Name,Slug,Cuisine,Price Level,Average Price,Currency,Rating,Review Count,Street,Zip Code,Locality,Country,Latitude,Longitude
Bissac,bissac,Français,4,52,EUR,8.8,447,"10, rue de la Bourse",75002,Paris,France,48.86955,2.33947
Ledreux by Giovanni Lorenzo,ledreux-by-giovanni-lorenzo,,3,38,EUR,8.8,61,67 Av. du Général Leclerc,75014,Paris,France,48.8286597,2.3279935
Washi,washi,Thaïlandais,3,31,EUR,9.4,2012,3 Rue Peclet,75015,Paris,France,48.8433751,2.2988361
Mandarin de Paris,mandarin-de-paris,Chinois,3,35,EUR,8.9,87,52 Rue Lauriston,75116,Paris,France,48.87,2.2904711
Romantica Caffè Arc De Triomphe,romantica-caffe-arc-de-triomphe,Italien,3,36,EUR,8.8,1765,"7, rue Lauriston",75016,Paris,France,48.872076968175,2.2927300930023193
YiFuYuan,yifuyuan,Chinois,2,26,EUR,6.7,3,3 Rue de Castellane,75008,Paris,France,48.8721664,2.3254236
Thai At Home 15ème,thai-at-home-15eme,Thaïlandais,2,21,EUR,9.3,279,23 Rue Mademoiselle,75015,Paris,France,48.8437042,2.2952805
L'Age d'Or,l-age-d-or,Français,2,27,EUR,9,1138,"26, rue du Docteur Magnan",75013,Paris,France,48.827000982621,2.3610799312591553
Big Fernand - Paris Tolbiac,big-fernand-paris-tolbiac,Français,1,17,EUR,8.6,124,8 Prom. Claude Lévi-Strauss,75013,Paris,France,48.83079600000001,2.3754183
Le Fil Rouge Café,le-fil-rouge-cafe,Américain,2,26,EUR,9.4,532,"3, rue René Boulanger",75010,Paris,France,48.868852685955,2.3590500354766846
JJII,jjii,,4,56,EUR,9.7,174,92 Rue du Faubourg Poissonnière,75010,Paris,France,48.8778827,2.3492809
Automne,automne,Européen,4,100,EUR,9,274,11 Rue Richard Lenoir,75011,Paris,France,48.8547365,2.3819746
Japorama,japorama,Japonais,3,46,EUR,8.9,501,"16, rue Monsieur le Prince",75006,Paris,France,48.850233097893,2.339629888534546
Regain - Printemps,regain-printemps,Français,3,32,EUR,8.9,246,64 boulevard Haussmann,75009,Paris,France,48.8741184,2.328331
MANKO Paris,manko-paris,Péruvien,4,55,EUR,8.9,949,15 Avenue Montaigne,75008,Paris,France,48.8658111,2.303058
Il Barone,il-barone,Italien,3,39,EUR,8.8,1501,"5, rue Leopold Robert",75014,Paris,France,48.84101987699,2.3309199810028076
O. Isso Restaurant,o-isso-restaurant,Coréen,2,26,EUR,9,48,6 Rue Blainville,75005,Paris,France,48.84456640000001,2.3486293
Le Bigo,le-bigo,,2,25,EUR,9.2,645,37 Rue Berger,75001,Paris,France,48.8618491,2.3435847
Asian Touch Paris,asian-touch-paris,Japonais,1,18,EUR,9.3,105,211 Rue Saint-Maur,75010,Paris,France,48.8727435,2.3709911
Bistrot Môm,bistrot-mom,Français,3,32,EUR,8.6,381,4 Rue Pierre Demours,75017,Paris-17E-Arrondissement,France,48.8797784,2.2915978
Chez Céleste Bar à Tapas Cuisine du Cap-Vert,chez-celeste-bar-a-tapas-cuisine-du-cap-vert,Créole,2,24,EUR,9.7,75,23 Rue de Cotte,75012,Paris,France,48.8498421,2.3777892
Lithang,lithang,Fusion,1,18,EUR,9.4,1490,318 Rue Saint-Jacques,75005,Paris,France,48.8403523,2.3404581
Restaurant Kurde Sersaf,restaurant-kurde-sersaf,Méditérranéen,2,29,EUR,9.3,3634,18 Avenue des Gobelins,75005,Paris,France,48.8373887,2.351184
Les 3 Frères,les-3-freres,,3,30,EUR,9.1,50,98 Bd Diderot,75012,Paris,France,48.84697859999999,2.3849146
La Paella,la-paella,Espagnol,3,42,EUR,8.9,576,50 Rue des Vinaigriers,75010,Paris,France,48.8733774,2.3605719
Vittoria,vittoria,Italien,2,25,EUR,8.9,3270,87 Rue d'Hauteville,75010,Paris,France,48.8773511,2.3513928
Végét'halles,veget-halles,Vegan,2,25,EUR,9.1,2069,"41, rue des Bourdonnais",75001,Paris,France,48.860433444374,2.345489978790283
Yakuza Sando,yakuza-sando,Japonais,2,25,EUR,0,15,3 Rue des Quatre Vents,75006,Paris,France,48.8516601,2.3381322
Perception,perception,Français,4,95,EUR,9.8,298,53 Rue Blanche,75009,Paris,France,48.8812402,2.3313732
Carné viandes au Chiberta,carne-viandes-au-chiberta,,4,130,EUR,0,1,3 Rue Arsène Houssaye,75008,Paris,France,48.873582,2.2977167
Mr & Mrs Crab,mr-mrs-crab,Fruits de mer,3,35,EUR,8.2,43,20 Rue de la Huchette,75005,Paris,France,48.85310639999999,2.3455508
Astair,astair,Français,3,40,EUR,7.9,43,19 Pass. des Panoramas,75002,Paris,France,48.8708515,2.341752099999999
LA FILLE A PAPA,la-fille-a-papa,Français,3,31,EUR,0,1,28 Rue du Sergent Bauchat,75012,Paris,France,48.8455512,2.3933544
Le Charonne,le-charonne,Français,3,30,EUR,9.2,696,"25 Rue de Charonne, Paris, France",75011,Paris,France,48.8533767,2.3751638
Chez L'Italien,chez-l-italien,Italien,2,20,EUR,8.9,19,12 Rue de la Sorbonne,75005,Paris,France,48.8494308,2.3431746
Le Relais Du Louvre,le-relais-du-louvre,Français,2,29,EUR,8.9,220,3 Rue du Louvre,75001,Paris,France,48.8615486,2.3409241
Crêperie Sénégalette ,creperie-senegalette,Africain,2,20,EUR,9.6,3807,"38, rue Poissonnière",75002,Paris,France,48.870102276797,2.347899913787842
Les Gouttes de Dieu - La Cave,les-gouttes-de-dieu-la-cave,Français,3,32,EUR,9.1,24,13 Bd des Batignolles,75008,Paris,France,48.8829262,2.3257064
Restaurant Ida,restaurant-ida,Italien,3,51,EUR,9.2,945,117 Rue de Vaugirard,75015,Paris,France,48.8446827,2.319115
MAYO - Hyatt Regency Paris Etoile,mayo-hyatt-regency-paris-etoile,Français,3,36,EUR,8.9,1213,3 Place du Général Kœnig,75017,Paris,France,48.8804614,2.2844977
Baanbeck,baanbeck,Asiatique,3,37,EUR,9.6,249,2 Quai Henri IV,75004,Paris,France,48.84749,2.3649649
Le Comptoir à Pizza,le-comptoir-a-pizza,Pizzeria,1,15,EUR,8.2,65,102 Av. d'Italie,75013,Paris,France,48.8251581,2.3572247
Le Mont Liban,le-mont-liban,Libanais,2,20,EUR,8.9,33,42 Bd des Batignolles,75017,Paris,France,48.88288439999999,2.323009
Ly Thai,ly-thai,Thaïlandais,4,55,EUR,8.9,27,5 Rue des Saussaies,75008,Paris,France,48.8713191,2.3171439
Villa Papillon,villa-papillon,Thaïlandais,3,33,EUR,9.2,392,15 Rue Tiquetonne,75002,Paris,France,48.8645372,2.3487251
